uid,stress_level,time,date,total_unlocks,total_scr_time,avg_scr_time,night_unlocks,total_convos,total_convo_time,avg_convo_time,night_convos,total_dark,total_dark_time,avg_dark_time,night_dark
u00,1,1365209004,2013-04-05,4,891.4666666666667,222.86666666666667,2,28,582.8666666666667,20.816666666666666,7,3,322.98333333333335,107.66111111111111,1
u00,5,1365309944,2013-04-06,4,1025.6833333333332,256.4208333333333,2,35,376.71666666666664,10.763333333333332,6,3,663.5833333333333,221.19444444444443,2
u00,3,1365392025,2013-04-07,4,830.6666666666667,207.66666666666669,2,31,384.25,12.39516129032258,14,3,809.4166666666667,269.8055555555556,2
u00,3,1365979542,2013-04-14,7,1115.2166666666667,159.31666666666666,3,42,261.6,6.2285714285714295,11,2,883.5166666666667,441.7583333333333,1
u00,3,1366057709,2013-04-15,4,523.75,130.9375,2,35,516.5666666666666,14.759047619047617,7,3,500.15,166.71666666666667,1
u00,3,1365485623,2013-04-09,3,662.0666666666666,220.68888888888887,1,26,363.25,13.971153846153847,7,3,747.1166666666667,249.0388888888889,1
u00,1,1365554518,2013-04-09,3,662.0666666666666,220.68888888888887,1,26,363.25,13.971153846153847,7,3,747.1166666666667,249.0388888888889,1
u00,3,1366084895,2013-04-15,4,523.75,130.9375,2,35,516.5666666666666,14.759047619047617,7,3,500.15,166.71666666666667,1
u00,3,1366191758,2013-04-17,3,521.3,173.76666666666665,1,23,438.55,19.067391304347826,2,4,695.2833333333333,173.82083333333333,1
u00,4,1366258945,2013-04-17,3,521.3,173.76666666666665,1,23,438.55,19.067391304347826,2,4,695.2833333333333,173.82083333333333,1
u00,1,1366912997,2013-04-25,4,551.8666666666667,137.96666666666667,1,31,491.0,15.838709677419354,12,5,928.0666666666667,185.61333333333334,3
u00,1,1366707298,2013-04-23,6,893.3333333333333,148.88888888888889,3,31,536.1166666666667,17.294086021505375,4,5,949.1166666666667,189.82333333333332,2
u00,1,1366999339,2013-04-26,4,484.78333333333336,121.19583333333334,0,32,526.2666666666667,16.445833333333333,9,5,728.3666666666667,145.67333333333335,1
u00,2,1367208547,2013-04-28,6,641.6833333333334,106.94722222222224,1,34,281.78333333333336,8.287745098039217,4,3,281.21666666666664,93.73888888888888,0
u00,1,1367179212,2013-04-28,6,641.6833333333334,106.94722222222224,1,34,281.78333333333336,8.287745098039217,4,3,281.21666666666664,93.73888888888888,0
